norm_name,github_login,confidence,gh_name,gh_company,followers,method,resolved_at,recheck_after
raphael semeteys,rsemeteys,HIGH,Raphaël Semeteys,Worldline,3,fullname,2026-06-28,
jean christophe sirot,jcsirot,HIGH,Jean-Christophe Sirot,,31,fullname-ascii+jvmrepo,2026-06-28,
alexis slawny,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
christian sperandio,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
julien sulpis,jsulpis,HIGH,Julien Sulpis,@Scaleway,119,fullname+org,2026-06-28,
stephane tankoua,stankoua,HIGH,TANKOUA Stéphane,@zengularity,26,fullname+jvmrepo,2026-06-28,
stephane trebel,StephaneTrebel,HIGH,Stéphane Trebel,WeScale,42,fullname,2026-06-28,
jerome tama,jtama,HIGH,Jérôme Tama,Onepoint,40,fullname,2026-06-28,
sarah tedjani,sarahted,MED,Sarah Tedjani,,2,fullname,2026-06-28,2026-09-26
pierre therrode,pi-2r,HIGH,Pierre Therrode,SNCF CONNECT & TECH,43,fullname,2026-06-28,
bastien tran,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
stephane trognon,stephane-trognon,MED,Stéphane Trognon,,1,fullname,2026-06-28,2026-09-26
daniel verdierre,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
aurelie vache,scraly,HIGH,Aurelie Vache,ovh,846,fullname-ascii+dominant,2026-06-28,
laurent vaillant,lrnthbrt,HIGH,Laurent Hubert-Vaillant,Wallix,0,fullname+jvmrepo,2026-06-28,
mikael van craeynest,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
emile vauge,emilevauge,HIGH,Emile Vauge,@traefik ,567,fullname,2026-06-28,
erwan velu,ErwanAliasr1,HIGH,Erwan Velu,Criteo,25,fullname,2026-06-28,
remi verchere,rverchere,HIGH,Rémi Verchère,Gravitek,54,fullname+dominant,2026-06-28,
matthieu vetter,Grudov,MED,Matthieu Vetter ,,0,fullname,2026-06-28,2026-09-26
alexandre victoor,alexvictoor,HIGH,Alexandre Victoor,,55,fullname+jvmrepo,2026-06-28,
clement virieux,cvirieux,HIGH,Clément Virieux,,1,fullname+jvmrepo,2026-06-28,
sylvain wallez,swallez,HIGH,Sylvain Wallez,@elastic,180,fullname,2026-06-28,
jonathan winandy,ahoy-jon,HIGH,Jonathan Winandy,,123,fullname+jvmrepo,2026-06-28,
julien wittouck,juwit,HIGH,Julien WITTOUCK,@CodeKaio,67,fullname,2026-06-28,
nicolas wlodarczyk,nicolaswlo,MED,Nicolas Wlodarczyk,,0,fullname,2026-06-28,2026-09-26
florian yger,florianyger,HIGH,Florian Yger,Winamax,2,fullname,2026-06-28,
pawe zajaczkowski,Gvaireth,HIGH,Paweł Zajączkowski,,16,fullname+jvmrepo,2026-06-28,
florent zara,flzara,HIGH,Florent Zara,Eclipse Foundation,11,fullname,2026-06-28,
pierre zemb,PierreZ,HIGH,Pierre Zemb,@CleverCloud,223,fullname,2026-06-28,
clement de tastes,CodeSimcoe,HIGH,Clément de Tastes,,18,fullname+jvmrepo,2026-06-28,
yifang dong,YifangDONG,MED,Yifang DONG,,1,fullname,2026-06-28,2026-09-26
marine du mesnil,marine-mb,HIGH,Marine du Mesnil,Hopia,14,fullname,2026-06-28,
geoffrey graveaud,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
jerome leonard,jeromeleonard,MED,Jerome Leonard,StrangeBee,27,fullname,2026-06-28,2026-09-26
johan martinsson,martinsson,HIGH,Johan Martinsson,,113,fullname+jvmrepo,2026-06-28,
stephane teyssier,yesteph,MED,stephane teyssier,,7,fullname,2026-06-28,2026-09-26
jan van wassenhove,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
dimitris andreadis,dandreadis,HIGH,Dimitris Andreadis,Red Hat,36,fullname+jvmrepo,2026-06-28,
georgios andrianakis,geoand,HIGH,Georgios Andrianakis,@IBM,371,fullname,2026-06-28,
anastasia andrikou,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
spyridon angelopoulos,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
george argyropoulos,george-argy,MED,George Argyropoulos,,0,fullname,2026-06-28,2026-09-26
andreas athanasopoulos,andreasathanasopoulos,HIGH,Andreas Athanasopoulos,,5,fullname+jvmrepo,2026-06-28,
zacharenia atzitzikaki,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
aristeidis bampakos,bampakoa,HIGH,Aristeidis Bampakos,@Developer-Plexscape ,224,fullname,2026-06-28,
thanassis bantios,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
dimitrios barpakis,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
evi chatzidaki,chatzidaki,MED,Evi Chatzidaki,,0,fullname,2026-06-28,2026-09-26
alain chautard,alcfeoh,HIGH,Alain Chautard,Angular Training / Interstate 21 LLC,300,fullname,2026-06-28,
george christodoulopoulos,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
vasilis christopoulos,nergonvc,HIGH,Vasilis Christopoulos,Programium,9,fullname,2026-06-28,
ian cooper,CGFrog,HIGH,Ian Cooper,,21,fullname,2026-06-28,
ron dagdag,rondagdag,HIGH,Ron Dagdag,,111,alias,2026-06-28,
dennis doomen,dennisdoomen,HIGH,Dennis Doomen,Aviva Solutions,437,fullname,2026-06-28,
paul dragoonis,dragoonis,HIGH,Paul Dragoonis,@dr4goonis,353,fullname+dominant,2026-06-28,
giota eftaxia,ggefta,MED,Giota Eftaxia,,0,fullname,2026-06-28,2026-09-26
konstantinos elemenoglou,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
michelle frost,michellevenables1,MED,Michelle Frost,,11,fullname,2026-06-28,2026-09-26
giorgos gkogkolis,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sandon jacobs,sandonjacobs,HIGH,Sandon Jacobs,Confluent,7,fullname,2026-06-28,
vanessa johnson,vanessamj99,HIGH,Vanessa Johnson,,0,fullname+jvmrepo,2026-06-28,
giorgos kalfopoulos,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
dimitris kaklamanis,dkaklamanis,HIGH,Dimitris Kaklamanis,Code.Hub,2,fullname,2026-06-28,
spyros karavanis,spyroskaravanis,MED,Spyros Karavanis,,1,fullname,2026-06-28,2026-09-26
vasilis keleris,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
michail kollias,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alex konig,axkng,MED,Alex König,,4,fullname,2026-06-28,2026-09-26
thanos korakas,tkorakas,HIGH,Thanos Korakas,XM,210,fullname+dominant,2026-06-28,
antonios kosmas,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
vasileia kourli,vkourli,MED,Vasileia Kourli,,0,fullname,2026-06-28,2026-09-26
konstantinos koutitsas,FullMetalAlchemistEMP,MED,Konstantinos Koutitsas,,0,fullname,2026-06-28,2026-09-26
dimitris kyriakopoulos,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sotiris leventis,sotirisleventis,HIGH,Sotiris Leventis,@qognity,4,fullname,2026-06-28,
ziyang liu,zliu41,HIGH,Ziyang Liu,@input-output-hk,94,fullname,2026-06-28,
sotiris lyras,cyberrobots,MED,Sotiris Lyras,,1,fullname,2026-06-28,2026-09-26
antonis markopoulos,amarkopoulos,MED,Antonis Markopoulos,,0,fullname,2026-06-28,2026-09-26
anastasia masadi,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
konstantina mavrodimitraki,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
zisis michalaris,kioskier,HIGH,Zisis Michalaris,,3,fullname+jvmrepo,2026-06-28,
jo minney,jomarieminney,HIGH,Jo Minney,Devhouse,18,fullname,2026-06-28,
tobias modig,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
effie mouzeli,manjiki,HIGH,effie mouzeli,Wikimedia Foundation,12,fullname,2026-06-28,
ioannis nanas,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
penelope nastou,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
elias niaos,elniaos,HIGH,Elias Niaos,PRODYNA SE,1,fullname,2026-06-28,
alyssa nicoll,alyssamichelle,HIGH,Alyssa Michelle Nicoll,,258,alias,2026-07-03,
tasos nikolaou,tase-nikol,MED,Tasos Nikolaou,,3,fullname,2026-06-28,2026-09-26
giorgos nikolopoulos,g3orgios,HIGH,Giorgos Nikolopoulos,,1,fullname+jvmrepo,2026-06-28,
karl henrik nilsson,karl-henrik,HIGH,Karl-Henrik Nilsson,GAC,11,fullname,2026-06-28,
michalis papadimitriou,mikepapadim,HIGH,Michalis Papadimitriou,Neo4j,57,fullname+jvmrepo,2026-06-28,
peggy papadopoulou,pegpapas,HIGH,Papadopoulou Peggy,Deloitte,2,fullname,2026-06-28,
dimitris papageorgiou,dpapageo,HIGH,Dimitris Papageorgiou,AWS,2,fullname+jvmrepo,2026-06-28,
patroklos papapetrou,ppapapetrou76,HIGH,Papapetrou Patroklos,,107,alias,2026-06-28,
vadym pinchuk,VadymPinchuk,HIGH,Vadym Pinchuk,,94,alias,2026-06-28,
thomas pliakas,pliakas,HIGH,Thomas Pliakas,Roukou,6,fullname+jvmrepo,2026-06-28,
christos psychogyios,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
j b rainsberger,jbrains,HIGH,J. B. Rainsberger,"Diaspar Software Services, Inc.",494,fullname-ascii,2026-06-28,
maxim salnikov,webmaxru,HIGH,Maxim Salnikov,@microsoft,666,fullname,2026-06-28,
will sentance,WillSen,MED,Will Sentance,,768,fullname,2026-06-28,2026-09-26
alex shershebnev,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
sotiris sotiropoulos,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
kostas stroggylos,modernist,MED,Kostas Stroggylos,,25,fullname,2026-06-28,2026-09-26
pinelopi theodorakakou,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
virginia diana todea,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
thomas varsamidis,pacma-pandi,HIGH,Thomas Varsamidis,,3,fullname+jvmrepo,2026-06-28,
jonathan vila,jonathanvila,HIGH,Jonathan Vila,Sonarsource,95,fullname,2026-06-28,
adriana villela,avillela,HIGH,Adriana Villela,,87,fullname+jvmrepo,2026-06-28,
konstantinos vourloumis,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alessandro vozza,ams0,HIGH,Alessandro Vozza,Microsoft,387,fullname,2026-06-28,
gerasimos xydas,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
menelaos zetas,menelaoszetas1990,MED,Menelaos Zetas,,0,fullname,2026-06-28,2026-09-26
ema zyka,emazyka,HIGH,Ema Zyka,,34,fullname,2026-06-28,
ak n kald roglu,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
fatih kesgin,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
turhal temizer,turhaltemizer,MED,Turhal Temizer,,1,fullname,2026-06-28,2026-09-26
lemi orhan ergin,lemiorhan,HIGH,Lemi Orhan Ergin,@craftgate ,1538,fullname,2026-06-28,
ahmed enis erkaya,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alper hankendi,alperhankendi,HIGH,Alper Hankendi,hepsiburada.com,388,fullname,2026-06-28,
marco belladelli,mbellade,HIGH,Marco Belladelli,IBM,23,fullname,2026-06-28,
dr naci dai,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
serkan cavusoglu,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
haoyi li,lihaoyi,HIGH,Li Haoyi,,5195,fullname+jvmrepo,2026-06-28,
reza rahman,m-reza-rahman,HIGH,Reza Rahman,,468,fullname,2026-06-28,
mohamed taman,mohamed-taman,HIGH,Mohamed Taman,Magna International ,922,fullname+jvmrepo,2026-06-28,
otavio santana,otaviojava,HIGH,Otávio Santana,@eclipse @soujava @apache,1312,fullname+jvmrepo,2026-06-28,
alexis monville,alexismonville,MED,Alexis Monville,,12,fullname,2026-06-28,2026-09-26
rafael del nero,rafadelnero,HIGH,Rafael del Nero,Java Challengers,363,fullname+jvmrepo,2026-06-28,
kenan sevindik,harezmi,MED,Kenan Sevindik,www.kenansevindik.com,26,fullname,2026-06-28,2026-09-26
chandra guntur,c-guntur,HIGH,Chandra Guntur,,241,fullname+jvmrepo,2026-06-28,
yehonathan sharvit,viebel,MED,Yehonathan Sharvit,,331,fullname,2026-06-28,2026-09-26
mads opheim,madsop,HIGH,Mads Opheim,@computas ,10,fullname,2026-06-28,
marc philipp,marcphilipp,HIGH,Marc Philipp,,642,fullname,2026-06-28,
nupur agarwal,Nupuragarwal113,HIGH,Nupur Agarwal,Manipal University Jaipur,3,fullname,2026-06-28,
markus kett,MarkusKett,HIGH,Markus Kett,MicroStream Software,1,fullname,2026-06-28,
dominika tasarz,dominikatasarz,HIGH,Dominika Tasarz,Payara,1,fullname,2026-06-28,
mary grygleski,mgrygles,HIGH,Mary Grygleski,https://maryg.one,136,fullname,2026-06-28,
grace robinson,gljrobinson,HIGH,Grace Robinson,,28,fullname+jvmrepo,2026-06-28,
frank delporte,FDelporte,HIGH,Frank Delporte,webtechie.be - Pi4J - Lottie4J ,178,fullname,2026-06-28,
sharat chander,SharatChander,HIGH,Sharat Chander,"Oracle, Corp.",3,fullname,2026-06-28,
markus eisele,myfear,HIGH,Markus Eisele,@jboss ,388,fullname+jvmrepo,2026-06-28,
bruno borges,brunoborges,HIGH,Bruno Borges,@Microsoft,1073,fullname,2026-06-28,
piotr przybyl,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
jayashree s kumar,jaysk1,HIGH,Jayashree S Kumar,@Oracle,4,fullname,2026-06-28,
brian sam bodden,bsbodden,HIGH,Brian Sam-Bodden,@integrallis ,173,fullname-ascii,2026-06-28,
sven ruppert,svenruppert,HIGH,Sven Ruppert,,162,fullname+jvmrepo,2026-06-28,
florian habermann,fh-ms,HIGH,Florian Habermann,@microstream-one,20,fullname,2026-06-28,
christian kuemmel,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
don bourne,donbourne,HIGH,Don Bourne,,10,fullname+org,2026-06-28,
michal broz,mbroz2,HIGH,Michal Broz,,5,fullname+org,2026-06-28,
mohammad ali a rabi,aerabi,HIGH,Mohammad-Ali A'RÂBI,@JobRad-GmbH,70,fullname-ascii,2026-06-28,
adib saikali,asaikali,HIGH,Adib Saikali,@VMWare,200,fullname+jvmrepo,2026-07-03,
andreas lange,andrlange,HIGH,Andreas Lange,,37,fullname+jvmrepo,2026-07-03,
annegret junker,Grinseteddy,HIGH,Annegret Junker,codecentric AG,16,fullname,2026-07-03,
anthony dahanne,anthonydahanne,HIGH,Anthony Dahanne,@HeroDevs,113,fullname,2026-07-03,
badr nass lahsen,bnasslahsen,HIGH,Badr NASS LAHSEN,@cyberark,64,fullname,2026-07-03,
christian beikov,beikov,HIGH,Christian Beikov,IBM & Blazebit,90,fullname,2026-07-03,
cornelia davis,cdavisafc,HIGH,Cornelia Davis,@temporalio,196,fullname,2026-07-03,
dan dobrin,ddobrin,HIGH,Dan Dobrin,@google @GoogleCloudPlatform @googleapis @cloud-gtm @langchain4j @spring-projects @vmware-tanzu @networknt,125,fullname,2026-07-03,
dave syer,dsyer,HIGH,Dave Syer,Broadcom,4278,fullname,2026-07-03,
david caron,dcaron,HIGH,David Caron,,39,fullname+jvmrepo,2026-07-03,
dmitry chuyko,dchuyko,HIGH,Dmitry Chuyko,BellSoft,35,fullname,2026-07-03,
fabrizio lazzaretti,Lazzaretti,HIGH,Fabrizio Lazzaretti,,18,fullname+org,2026-07-03,
gregory green,gregreen,MED,Gregory Green,Max Planck Institute for Astronomy,39,fullname,2026-07-03,2026-10-01
ivan saric,isaric,HIGH,Ivan Šarić,"Revolut Spain, Path Variable LLC",8,fullname,2026-07-03,
jonatan ivanov,jonatan-ivanov,HIGH,Jonatan Ivanov,@broadcom,436,fullname,2026-07-03,
joris kuipers,jkuipers,HIGH,Joris Kuipers,Trifork,139,fullname,2026-07-03,
joshua angolano,,UNRESOLVED,,,,broad,2026-07-03,2026-10-01
juergen hoeller,jhoeller,HIGH,Juergen Hoeller,Broadcom,1828,fullname,2026-07-03,
laurent broudoux,lbroudoux,HIGH,Laurent Broudoux,"Postman, Inc",202,fullname,2026-07-03,
marcus merrell,mmerrell,HIGH,Marcus Merrell,"Sauce Labs, inc",47,fullname+jvmrepo,2026-07-03,
mario slatinac,marioslatinac,HIGH,Mario Slatinac,@infinum,7,fullname,2026-07-03,
mark paluch,mp911de,HIGH,Mark Paluch,,1389,fullname+jvmrepo,2026-07-03,
mark pollack,markpollack,HIGH,Mark Pollack,VMware,483,fullname+jvmrepo,2026-07-03,
mauricio salatino,,UNRESOLVED,,,,fullname,2026-07-03,2026-10-01
maximilian schellhorn,maschnetwork,HIGH,Maximilian Schellhorn,Amazon Web Services,28,fullname,2026-07-03,
mikhail polivakha,mipo256,HIGH,Mikhail Polivakha,,91,fullname+jvmrepo,2026-07-03,
moritz halbritter,mhalbritter,HIGH,Moritz Halbritter,@broadcom,352,fullname,2026-07-03,
neven cvetkovic,,UNRESOLVED,,,,fullname,2026-07-03,2026-10-01
oded shopen,,UNRESOLVED,,,,broad,2026-07-03,2026-10-01
paulien van alst,PaulienVa,HIGH,Paulien van Alst,OpenValue,20,fullname,2026-07-03,
philip riecks,rieckpil,HIGH,Philip Riecks,@PragmaTech-GmbH,697,fullname,2026-07-03,
ram mohan rao chukka,chukka,HIGH,Ram Mohan Rao Chukka,JFrog,13,fullname,2026-07-03,
raquel pau,rpau,HIGH,Raquel Pau,Broadcom,67,fullname,2026-07-03,
ricardo ferreira,riferrei,HIGH,Ricardo Ferreira,Redis,338,fullname,2026-07-03,
ronald dehuysser,rdehuyss,HIGH,Ronald Dehuysser,Rosoco BVBA,127,fullname,2026-07-03,
rossen stoyanchev,rstoyanchev,HIGH,Rossen Stoyanchev,Broadcom,1606,fullname,2026-07-03,
ruben afonso,rubentnf,MED,Rubén Afonso,,9,fullname,2026-07-03,2026-10-01
sergei chernov,sacher90,MED,SERGEI CHERNOV,,0,fullname,2026-07-03,2026-10-01
shibi ramachandran,shibicr93,HIGH,Shibi Ramachandran,ING ,9,fullname,2026-07-03,
siva prasad reddy katamreddy,,UNRESOLVED,,,,broad,2026-07-03,2026-10-01
thomas vitale,ThomasVitale,HIGH,Thomas Vitale,Systematic A/S,1246,fullname,2026-07-03,
tiffany jernigan,tiffanyfay,HIGH,tiffany jernigan,Grafana Labs,270,fullname,2026-07-03,
tim van baarsen,j-tim,HIGH,Tim van Baarsen,,67,fullname+jvmrepo,2026-07-03,
tommy ludwig,shakuzen,HIGH,Tommy Ludwig,,211,fullname+jvmrepo,2026-07-03,
urs peter,,UNRESOLVED,,,,fullname,2026-07-03,2026-10-01
vadim briliantov,Ololoshechkin,HIGH,Briliantov Vadim,@JetBrains ,53,fullname,2026-07-03,
vadzim prudnikau,,UNRESOLVED,,,,broad,2026-07-03,2026-10-01
yuriy bezsonov,ybezsonov,HIGH,Yuriy Bezsonov,AWS,11,fullname,2026-07-03,
rachel appel,rachelappel,HIGH,Rachel Appel,JetBrains,199,fullname,2026-06-28,
manish askani,manish-askani-picnic,HIGH,Manish Askani,Picnic,0,fullname,2026-06-28,
django beek,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
marthijs berfelo,Marthijs-Berfelo,HIGH,Marthijs Berfelo,@EDSN-NL,2,fullname,2026-06-28,
jan boonen,boonen,HIGH,Jan Boonen,the/experts.,10,fullname,2026-06-28,
jeroen borgers,jborgers,HIGH,Jeroen Borgers,jPinpoint B.V.,22,fullname,2026-06-28,
wilco burggraaf,WBurggraaf,HIGH,Wilco Burggraaf,Hightech ICT,7,fullname,2026-06-28,
jettro coenradie,jettro,HIGH,Jettro Coenradie,Jettro Dev,131,fullname+jvmrepo,2026-06-28,
soham dasgupta,thesobercoder,MED,Soham Dasgupta,,58,fullname,2026-06-28,2026-09-26
delicia de jong,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
mark dirksma,funkycoding,MED,Mark Dirksma,,9,fullname,2026-06-28,2026-09-26
ramona domen,mowad,HIGH,Ramona Domen,Team Rockstars IT,2,fullname,2026-06-28,
jeroen egelmeers,JeroenEgelmeers,HIGH,Jeroen Egelmeers,,2,fullname+jvmrepo,2026-06-28,
hanno embregts,hannotify,HIGH,Hanno Embregts,@infosupport,67,fullname,2026-06-28,
iulia feroli,iuliaferoli,HIGH,Iulia Feroli,Elastic,140,fullname,2026-06-28,
daniel floor,DanielFloor,HIGH,Daniël Floor,Info Support,2,fullname,2026-06-28,
annie freeman,anniefreeman,HIGH,Annie Freeman,@coralogix ,0,fullname,2026-06-28,
ashish ghosh,ghoshasish99,HIGH,Ashish Ghosh,ING Bank,76,fullname,2026-06-28,
eli holderness,eli-holderness,MED,Eli Holderness,,1,fullname,2026-06-28,2026-09-26
bram janssens,sajanssens,HIGH,Bram Janssens,,17,fullname+jvmrepo,2026-06-28,
jens kat,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
mario klaver,marioklaver,HIGH,Mario Klaver,Endpoint ICT,4,fullname+jvmrepo,2026-06-28,
michael koers,M-Koers,HIGH,Michael Koers,Info Support,1,fullname,2026-06-28,
sophie kuster,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
aicha laafia,alaafia,HIGH,aicha laafia,,46,fullname+jvmrepo,2026-06-28,
julien lengrand lambert,jlengrand,HIGH,julien Lengrand-Lambert,,111,fullname-ascii+jvmrepo,2026-06-28,
adam michalik,adammichalik,HIGH,Adam Michalik,Rabobank,7,fullname,2026-06-28,
jacopo nardiello,jnardiello,HIGH,Jacopo Nardiello,ING,91,fullname,2026-06-28,
saman nourkhalaj,sinushx,HIGH,Saman Nourkhalaj,@elastic ,25,fullname,2026-06-28,
janne ploeger,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sri rang,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
gunter rotsaert,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
jos rutten,josrutten,HIGH,Jos Rutten,,1,fullname+jvmrepo,2026-06-28,
bert jan schrijver,bertjan,HIGH,Bert Jan Schrijver,OpenValue,177,fullname,2026-06-28,
michel schudel,MichelSchudel,HIGH,Michel Schudel,,68,fullname+jvmrepo,2026-06-28,
remco siemonsma,Remco-testing,MED,Remco Siemonsma,Qirion,0,fullname,2026-06-28,2026-09-26
peter smink,psmink,MED,Peter Smink,SolutionWorx,0,fullname,2026-06-28,2026-09-26
daniel spee,Daantie,HIGH,Daniël Spee,,0,fullname+jvmrepo,2026-06-28,
max sumrall,maxsumrall,HIGH,Max Sumrall,@PicnicSupermarket ,37,fullname,2026-06-28,
daniele tonella,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
ko turk,KoTurk,HIGH,Ko Turk,CodeLab,60,fullname,2026-06-28,
victor uria valle,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
lutske de leeuw,Lutske,HIGH,Lutske de Leeuw,Craftsmen,10,fullname,2026-06-28,
edo van draanen,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
boyen van gorp,Boyen86,HIGH,Boyen van Gorp,@Alliander,1,fullname,2026-06-28,
martijn van iersel,amarillion,HIGH,Martijn van Iersel,,18,fullname,2026-06-28,
marco van veldhuizen,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
linda van der pal,lvdpal,HIGH,Linda van der Pal,Trailblazers,5,fullname,2026-06-28,
magda miu,magdamiu,HIGH,Magda Miu,,187,fullname,2026-06-28,
victor botan,Taurettt,MED,Botan Victor,,1,fullname,2026-06-28,2026-09-26
george patrascu,7elements2008,HIGH,George Pătraşcu,,3,fullname-ascii+jvmrepo,2026-06-28,
bianca bulbuc,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
andrei mihai,crunck78,MED,Mihai-Andrei Neacsu,https://developerakademie.com/,83,fullname,2026-06-28,2026-09-26
alin miu,alin-miu-scoalainformala,MED,Alin Miu,,1,fullname,2026-06-28,2026-09-26
sandeep adinarayana,sandy-adi,HIGH,Sandeep Adinarayana,,4,fullname+jvmrepo,2026-06-28,
jose r almonte c,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
malavika balamurali,Mbala658,MED,Malavika Balamurali,,0,fullname,2026-06-28,2026-09-26
ryan baxter,ryanjbaxter,HIGH,Ryan Baxter,VMware,840,fullname+jvmrepo,2026-06-28,
brian benz,bbenz,HIGH,Brian Benz,Microsoft,334,fullname,2026-06-28,
rohit bhardwaj,rohitbhardwaj,HIGH,Rohit Bhardwaj,Productive Cloud Innovations,104,fullname+jvmrepo,2026-06-28,
hazel bohon,hazel-bohon,HIGH,Hazel Bohon,Particular Software,7,fullname,2026-06-28,
chris bono,onobc,HIGH,Chris Bono,Broadcom,86,fullname,2026-06-28,
jeanne boyarsky,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
barry burd,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
jorge cajas,cajasmota,HIGH,Jorge Cajas,,18,fullname+jvmrepo,2026-06-28,
dashaun carter,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
john ceccarelli,johnceccarelli,MED,John Ceccarelli,Oracle,4,fullname,2026-06-28,2026-09-26
medha chakraborty,medha209,MED,Medha Chakraborty,,0,fullname,2026-06-28,2026-09-26
yee kang chang,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
chris corriere,ecology-chris,MED,Chris Corriere,,10,fullname,2026-06-28,2026-09-26
john coyne,iolla-net,MED,John Coyne,,44,fullname,2026-06-28,2026-09-26
christopher curtin,ccurtin,MED,Christopher James Curtin,,18,fullname,2026-06-28,2026-09-26
anitha dakamarri,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sam dengler,samdengler,HIGH,Sam Dengler,JPMorgan Chase,61,fullname,2026-06-28,
srijani dey,SrijaniTinni,MED,Srijani Dey,Tata Consultancy Services,1,fullname,2026-06-28,2026-09-26
stefano doni,stefanodoni,HIGH,Stefano Doni,Akamas,4,fullname,2026-06-28,
jonathan ellis,jbellis,HIGH,Jonathan Ellis,DataStax,311,fullname+dominant,2026-06-28,
cody frenzel,codyfrenzel,HIGH,Cody Frenzel,,0,fullname+jvmrepo,2026-06-28,
shriyu gaglani,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
raju gandhi,looselytyped,HIGH,Raju Gandhi,https://www.def-macro.com/,296,fullname+dominant,2026-06-28,
jon gentsch,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
karthik govardhanan,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
rodrigo graciano,rodrigolgraciano,HIGH,Rodrigo Graciano,,28,fullname+jvmrepo,2026-06-28,
jonathon graf,JonoGraf,MED,Jonathon Graf,,0,fullname,2026-06-28,2026-09-26
joe grandja,jgrandja,HIGH,Joe Grandja,Broadcom,813,fullname,2026-06-28,
frank greco,fgreco55,HIGH,Frank Greco,NYJavaSIG,44,fullname,2026-06-28,
leigh griffin,lgriffin,HIGH,Leigh Griffin,Red Hat,34,fullname,2026-06-28,
